source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	comment[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 193	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_10.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_10.raw	10.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 194	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_11.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_11.raw	11.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 195	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_12.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_12.raw	12.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 196	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_13.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_13.raw	13.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 197	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_14.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_14.raw	14.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 198	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_15.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_15.raw	15.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 199	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_16.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_16.raw	16.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 200	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_17.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_17.raw	17.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 201	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_18.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_18.raw	18.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 202	proteomic profiling by mass spectrometry	AP051218_Gurjeet_LA_Hu14_C18_Binos_19.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_19.raw	19.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
